,Hours,Actual,PredictedScore
0,2.5,21,26.923181882341876
1,5.1,47,52.3402706983893
2,3.2,27,33.766244255893106
3,8.5,75,85.5780022270667
4,3.5,30,36.698985273129345
5,1.5,20,17.147378491554402
6,9.2,88,92.42106460061792
7,5.5,60,56.25059205470429
8,8.3,81,83.62284154890922
9,2.7,25,28.87834256049937
10,7.7,85,77.75735951443673
11,5.9,62,60.16091341101928
12,4.5,41,46.47478866391682
13,3.3,42,34.74382459497185
14,1.1,17,13.237057135239416
15,8.9,95,89.4883235833817
16,2.5,30,26.923181882341876
17,1.9,24,21.05769984786939
18,6.1,67,62.11607408917677
19,7.4,69,74.82461849720049
20,2.7,30,28.87834256049937
21,4.8,54,49.40752968115306
22,3.8,35,39.631726290365584
23,6.9,76,69.93671680180675
24,7.8,86,78.73493985351547
